order,title,link0,link1,link2,link3,link4,link5
1A,Introduction ,https://github.com/iamdarshshah/reactjs-course,https://www.postman.com/,https://twitter.com/iamdarshshah,https://www.linkedin.com/in/iamdarshshah/,https://github.com/iamdarshshah,https://www.girlscript.tech/home
1B,Course Overview,https://github.com/iamdarshshah/reactjs-course-app,,,,,
1C,Setup,https://medium.com/@maybekatz/introducing-npx-an-npm-package-runner-55f7d4bd282b,,,,,
2A,What you'll learn,,,,,,
2B,What is React,https://en.wikipedia.org/wiki/React_(web_framework),,,,,
2C,Getting Started,https://code.visualstudio.com/,,,,,
2C,Why React?,https://reactnative.dev/,,,,,
2D,Basic React app using Pure JavaScript,https://reactjs.org/docs/cdn-links.html,https://reactjs.org/docs/react-api.html,https://reactjs.org/docs/react-dom.html,,,
2F,Introducing JSX,https://reactjs.org/docs/introducing-jsx.html,,,,,
2G,Rendering Elements,https://reactjs.org/docs/rendering-elements.html,,,,,
2H,Components & Props,https://reactjs.org/docs/components-and-props.html#rendering-a-component,,,,,
2H,Intro to create-react-app,https://create-react-app.dev/docs/getting-started/,https://reactjs.org/docs/create-a-new-react-app.html,https://create-react-app.dev/,,,
2I,State & Lifecycle methods,,,,,,
2J,Props vs State,,,,,,
2K,Concept of Virtual DOM in React,https://www.edureka.co/blog/what-is-react/,https://reactjs.org/docs/faq-internals.html,,,,
2L,Building a Counter app,,,,,,
2M,Data fetching in React,https://jsonplaceholder.typicode.com/,,,,,
2N,Final Thoughts,https://youtu.be/zbjEAwWpKMg,,,,,
